"Страна";"Дата";"Заражений";"Выздоровлений";"Смертей";"Заражений за день";"Выздоровлений за день";"Смертей за день"
Австрия;10.03.2020;182;4;0;51;2;0
Австрия;10.04.2020;13555;6064;319;311;824;24
Австрия;11.02.2020;0;0;0;0;0;0
Австрия;11.03.2020;246;4;0;64;0;0
Австрия;11.04.2020;13806;6604;337;251;540;18
Австрия;12.02.2020;0;0;0;0;0;0
Австрия;12.03.2020;302;4;1;56;0;1
Австрия;12.04.2020;13945;6987;350;139;383;13
Австрия;13.02.2020;0;0;0;0;0;0
Австрия;13.03.2020;504;6;1;202;2;0
Австрия;13.04.2020;14041;7343;368;96;356;18
Австрия;14.02.2020;0;0;0;0;0;0
Австрия;14.03.2020;655;6;1;151;0;0
Австрия;14.04.2020;14226;7633;384;185;290;16
Австрия;15.02.2020;0;0;0;0;0;0
Австрия;15.03.2020;860;6;1;205;0;0
Австрия;15.04.2020;14336;8098;393;110;465;9
Австрия;16.02.2020;0;0;0;0;0;0
Австрия;16.03.2020;1018;6;3;158;0;2
Австрия;16.04.2020;14476;8986;410;140;888;17
Австрия;17.02.2020;0;0;0;0;0;0
Австрия;17.03.2020;1332;1;3;314;-5;0
Австрия;17.04.2020;14595;9704;431;119;718;21
Австрия;18.02.2020;0;0;0;0;0;0
Австрия;18.03.2020;1646;9;4;314;8;1
Австрия;18.04.2020;14671;10214;443;76;510;12
Австрия;19.02.2020;0;0;0;0;0;0
Австрия;19.03.2020;2013;9;6;367;0;2
Австрия;19.04.2020;14749;10501;452;78;287;9
Австрия;20.02.2020;0;0;0;0;0;0
Австрия;20.03.2020;2388;9;6;375;0;0
Австрия;20.04.2020;14795;10631;470;46;130;18
Австрия;21.02.2020;0;0;0;0;0;0
Австрия;21.03.2020;2814;9;8;426;0;2
Австрия;21.04.2020;14873;10971;491;78;340;21
Австрия;22.01.2020;0;0;0;0;0;0
Австрия;22.02.2020;0;0;0;0;0;0
Австрия;22.03.2020;3582;9;16;768;0;8
Австрия;22.04.2020;14925;11328;510;52;357;19
Австрия;23.01.2020;0;0;0;0;0;0
Австрия;23.02.2020;0;0;0;0;0;0
Австрия;23.03.2020;4474;9;21;892;0;5
Австрия;23.04.2020;15002;11694;522;77;366;12
Австрия;24.01.2020;0;0;0;0;0;0
Австрия;24.02.2020;0;0;0;0;0;0
Австрия;24.03.2020;5283;9;28;809;0;7
Австрия;24.04.2020;15071;11872;530;69;178;8
Австрия;25.01.2020;0;0;0;0;0;0
Австрия;25.02.2020;2;0;0;2;0;0
Австрия;25.03.2020;5588;9;30;305;0;2
Австрия;25.04.2020;15148;12103;536;77;231;6
Австрия;26.01.2020;0;0;0;0;0;0
Австрия;26.02.2020;2;0;0;0;0;0
Австрия;26.03.2020;6909;112;49;1321;103;19
Австрия;26.04.2020;15225;12282;542;77;179;6
Австрия;27.01.2020;0;0;0;0;0;0
Австрия;27.02.2020;3;0;0;1;0;0
Австрия;27.03.2020;7657;225;58;748;113;9
Австрия;27.04.2020;15274;12362;549;49;80;7
Австрия;28.01.2020;0;0;0;0;0;0
Австрия;28.02.2020;3;0;0;0;0;0
Австрия;28.03.2020;8271;225;68;614;0;10
Австрия;28.04.2020;15357;12580;569;83;218;20
Австрия;29.01.2020;0;0;0;0;0;0
Австрия;29.02.2020;9;0;0;6;0;0
Австрия;29.03.2020;8788;479;86;517;254;18
Австрия;29.04.2020;15402;12779;580;45;199;11
Австрия;30.01.2020;0;0;0;0;0;0
Австрия;30.03.2020;9618;636;108;830;157;22
Австрия;31.01.2020;0;0;0;0;0;0
Австрия;31.03.2020;10180;1095;128;562;459;20
Азербайджан;01.02.2020;0;0;0;0;0;0
Азербайджан;01.03.2020;3;0;0;3;0;0
Азербайджан;01.04.2020;359;26;5;61;0;0
Азербайджан;02.02.2020;0;0;0;0;0;0
Азербайджан;02.03.2020;3;0;0;0;0;0
Азербайджан;02.04.2020;400;26;5;41;0;0
